Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,KUK
Cyber security,J.62KAM00.001.2,Mengklasifikasikan Informasi yang Bersifat Rahasia,Membuat kategori klasifikasi informasi,kategori klasifikasi informasi diidentifikasi berdasarkan kebutuhan keamanan informasi
Cyber security,J.62KAM00.001.2,Mengklasifikasikan Informasi yang Bersifat Rahasia,Membuat kategori klasifikasi informasi,hasil identifikasi kategori klasifikasi informasi dianalisis sesuai kebutuhan keamanan informasi
Cyber security,J.62KAM00.001.2,Mengklasifikasikan Informasi yang Bersifat Rahasia,Membuat kategori klasifikasi informasi,kategori klasifikasi informasi disusun berdasarkan hasil analisis.
Cyber security,J.62KAM00.001.2,Mengklasifikasikan Informasi yang Bersifat Rahasia,Mendata informasi yang bersifat rahasia,daftar informasi diinventarisasi sesuai kategori klasifikasi informasi
Cyber security,J.62KAM00.001.2,Mengklasifikasikan Informasi yang Bersifat Rahasia,Mendata informasi yang bersifat rahasia,daftar informasi bersifat rahasia disusun sesuai format berlaku organisasi.
Cyber security,J.62KAM00.002.1,Melaksanakan Pengamanan Informasi yang Bersifat Rahasia,Menentukan kebijakan kriptografi,kebijakan kriptografi diidentifikasi sesuai kebutuhan keamanan informasi
Cyber security,J.62KAM00.002.1,Melaksanakan Pengamanan Informasi yang Bersifat Rahasia,Menentukan kebijakan kriptografi,kebijakan kriptografi dipilih sesuai kategori klasifikasi informasi.
Cyber security,J.62KAM00.002.1,Melaksanakan Pengamanan Informasi yang Bersifat Rahasia,Menentukan metode enkripsi data,metode enkripsi diidentifikasi berdasarkan kebijakan kriptografi
Cyber security,J.62KAM00.002.1,Melaksanakan Pengamanan Informasi yang Bersifat Rahasia,Menentukan metode enkripsi data,metode enkripsi dipilih berdasarkan kebijakan kriptografi.
Cyber security,J.62KAM00.009.1,Melaksanakan Autentikasi dalam Upaya Mencegah Pemalsuan Informasi,Melakukan validasi dalam upaya mencegah pemalsuan informasi,kriteria autentikasi ditentukan berdasarkan kategori klasifikasi informasi
Cyber security,J.62KAM00.009.1,Melaksanakan Autentikasi dalam Upaya Mencegah Pemalsuan Informasi,Melakukan validasi dalam upaya mencegah pemalsuan informasi,pemalsuan informasi divalidasi sesuai kriteria autentikasi.
Cyber security,J.62KAM00.009.1,Melaksanakan Autentikasi dalam Upaya Mencegah Pemalsuan Informasi,Mendokumentasikan hasil Autentikasi untuk validasi informasi,informasi divalidasi berdasarkan metode autentikasi informasi
Cyber security,J.62KAM00.009.1,Melaksanakan Autentikasi dalam Upaya Mencegah Pemalsuan Informasi,Mendokumentasikan hasil Autentikasi untuk validasi informasi,hasil validasi dicatat berdasarkan kebutuhan keamanan informasi.
Cyber security,J.62KAM00.013.2,Menyusun Rencana Pelaksanaan Pelindungan Fisik Keamanan Informasi,Mengidentifikasi keberadaan entitas pada area pengamanan fisik,daftar aktivitas entitas lingkungan organisasi diinventarisasi berdasarkan daftar ancaman fisik
Cyber security,J.62KAM00.013.2,Menyusun Rencana Pelaksanaan Pelindungan Fisik Keamanan Informasi,Mengidentifikasi keberadaan entitas pada area pengamanan fisik,daftar aktivitas entitas dianalisis sesuai kebutuhan keamanan fisik
Cyber security,J.62KAM00.013.2,Menyusun Rencana Pelaksanaan Pelindungan Fisik Keamanan Informasi,Mengidentifikasi keberadaan entitas pada area pengamanan fisik,daftar aktivitas entitas dibuat berdasarkan format berlaku.
Cyber security,J.62KAM00.013.2,Menyusun Rencana Pelaksanaan Pelindungan Fisik Keamanan Informasi,Menentukan rencana pelaksanaan pelindungan fisik Keamanan Informasi,rencana pelaksanaan pelindungan fisik disusun berdasarkan kebutuhan keamanan fisik
Cyber security,J.62KAM00.013.2,Menyusun Rencana Pelaksanaan Pelindungan Fisik Keamanan Informasi,Menentukan rencana pelaksanaan pelindungan fisik Keamanan Informasi,rencana pelaksanaan pelindungan fisik keamanan informasi didokumentasikan sesuai format berlaku.
Cyber security,J.62KAM00.014.2,Memetakan Profil Sumber Daya Manusia Keamanan Informasi,Menentukan profil SDM sesuai dengan profil risiko Keamanan Informasi organisasi,profil sdm diobservasi berdasarkan profil risiko organisasi
Cyber security,J.62KAM00.014.2,Memetakan Profil Sumber Daya Manusia Keamanan Informasi,Menentukan profil SDM sesuai dengan profil risiko Keamanan Informasi organisasi,profil sdm dipetakan profil risiko organisasi
Cyber security,J.62KAM00.014.2,Memetakan Profil Sumber Daya Manusia Keamanan Informasi,Menentukan profil SDM sesuai dengan profil risiko Keamanan Informasi organisasi,pemetaan profil sdm didokumentasikan berdasarkan kebutuhan keamanan informasi.
Cyber security,J.62KAM00.014.2,Memetakan Profil Sumber Daya Manusia Keamanan Informasi,Menyusun pembagian peran sesuai profil SDM,peran jabatan keamanan informasi organisasi diidentifikasi sesuai pemetaan profil sdm
Cyber security,J.62KAM00.014.2,Memetakan Profil Sumber Daya Manusia Keamanan Informasi,Menyusun pembagian peran sesuai profil SDM,dokumen peran jabatan keamanan informasi organisasi dibuat berdasarkan pemetaan profil sdm.
Cyber security,J.62KAM00.015.1,Menyusun Dokumen Skrining Personel Keamanan Informasi,Menentukan kriteria skrining personel Keamanan Informasi,kriteria skrining personel keamanan informasi diidentifikasi sesuai dokumen peran jabatan
Cyber security,J.62KAM00.015.1,Menyusun Dokumen Skrining Personel Keamanan Informasi,Menentukan kriteria skrining personel Keamanan Informasi,kriteria skrining personel keamanan informasi dipilih sesuai kebutuhan keamanan informasi.
Cyber security,J.62KAM00.015.1,Menyusun Dokumen Skrining Personel Keamanan Informasi,Merancang instrumen skrining personel Keamanan Informasi,daftar pertanyaan instrumen skrining dibuat sesuai parameter kriteria skrining personel keamanan informasi
Cyber security,J.62KAM00.015.1,Menyusun Dokumen Skrining Personel Keamanan Informasi,Merancang instrumen skrining personel Keamanan Informasi,mekanisme pengukuran instrumen skrining dibuat sesuai daftar pertanyaan instrumen skrining
Cyber security,J.62KAM00.015.1,Menyusun Dokumen Skrining Personel Keamanan Informasi,Merancang instrumen skrining personel Keamanan Informasi,instrumen skrining personel keamanan informasi didokumentasikan sesuai format berlaku.
Cyber security,J.62KAM00.003.2,Melaksanakan Pengamanan Integritas Informasi,Menentukan tingkat kepentingan informasi,tingkat kepentingan informasi diidentifikasi berdasarkan kategori klasifikasi informasi
Cyber security,J.62KAM00.003.2,Melaksanakan Pengamanan Integritas Informasi,Menentukan tingkat kepentingan informasi,tingkat kepentingan informasi ditentukan berdasarkan hasil identifikasi.
Cyber security,J.62KAM00.003.2,Melaksanakan Pengamanan Integritas Informasi,Melaksanakan pengamanan Integritas informasi,metode pengamanan integritas informasi diidentifikasi berdasarkan tingkat kepentingan informasi
Cyber security,J.62KAM00.003.2,Melaksanakan Pengamanan Integritas Informasi,Melaksanakan pengamanan Integritas informasi,pengamanan integritas informasi dilaksanakan sesuai metode pengamanan integritas informasi.
Cyber security,J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mengidentifikasi ancaman terhadap Integritas informasi,informasi terkait ancaman integritas informasi diinventarisasi berdasarkan kebutuhan keamanan informasi
Cyber security,J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mengidentifikasi ancaman terhadap Integritas informasi,hasil inventarisasi ancaman integritas informasi dipilih berdasarkan kebutuhan keamanan informasi.
Cyber security,J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mengidentifikasi metode validasi Integritas informasi,metode validasi integritas informasi diinventarisasi berdasarkan ancaman
Cyber security,J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mengidentifikasi metode validasi Integritas informasi,metode validasi integritas informasi ditentukan berdasarkan praktik terbaik keamanan informasi.
Cyber security,J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mendokumentasikan hasil validasi Integritas informasi,integritas informasi divalidasi berdasarkan metode validasi
Cyber security,J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mendokumentasikan hasil validasi Integritas informasi,hasil validasi integritas informasi dicatat berdasarkan kebutuhan keamanan informasi.
Cyber security,J.62KAM00.005.1,Melaksanakan Keberlangsungan Keamanan Informasi,Menentukan kebutuhan keberlangsungan Keamanan Informasi,aset penting diidentifikasi berdasarkan kebutuhan keamanan informasi
Cyber security,J.62KAM00.005.1,Melaksanakan Keberlangsungan Keamanan Informasi,Menentukan kebutuhan keberlangsungan Keamanan Informasi,kebutuhan keberlangsungan keamanan informasi ditentukan berdasarkan hasil identifikasi aset penting.
Cyber security,J.62KAM00.005.1,Melaksanakan Keberlangsungan Keamanan Informasi,Melaksanakan uji coba keberlangsungan Keamanan Informasi,skenario uji coba disusun berdasarkan kebutuhan keberlangsungan keamanan informasi
Cyber security,J.62KAM00.005.1,Melaksanakan Keberlangsungan Keamanan Informasi,Melaksanakan uji coba keberlangsungan Keamanan Informasi,uji coba dilaksanakan sesuai skenario uji coba.
Cyber security,J.62KAM00.007.1,Menetapkan Metode Autentikasi,Mengidentifikasi kebutuhan metode Autentikasi,ruang lingkup metode autentikasi diidentifikasi berdasarkan kebutuhan keamanan informasi
Cyber security,J.62KAM00.007.1,Menetapkan Metode Autentikasi,Mengidentifikasi kebutuhan metode Autentikasi,daftar metode autentikasi diinventarisasi berdasarkan praktik terbaik keamanan informasi.
Cyber security,J.62KAM00.007.1,Menetapkan Metode Autentikasi, Menentukan metode Autentikasi,metode autentikasi dipilih sesuai ruang lingkup
Cyber security,J.62KAM00.007.1,Menetapkan Metode Autentikasi, Menentukan metode Autentikasi,metode autentikasi didokumentasikan sesuai format berlaku.
Cyber security,J.62KAM00.010.1,Menentukan Aset Teknologi Informasi yang Dikontrol,Melakukan pencatatan Aset Teknologi Informasi,aset teknologi informasi diinventarisasi berdasarkan proses bisnis organisasi
Cyber security,J.62KAM00.010.1,Menentukan Aset Teknologi Informasi yang Dikontrol,Melakukan pencatatan Aset Teknologi Informasi,daftar aset teknologi informasi dibuat berdasarkan hasil inventarisasi.
Cyber security,J.62KAM00.010.1,Menentukan Aset Teknologi Informasi yang Dikontrol,Menerapkan kategori di setiap aset penting,aset penting ditentukan berdasarkan kebutuhan keamanan informasi
Cyber security,J.62KAM00.010.1,Menentukan Aset Teknologi Informasi yang Dikontrol,Menerapkan kategori di setiap aset penting,kategori akses ditentukan setiap aset penting sesuai klasifikasi informasi
Cyber security,J.62KAM00.010.1,Menentukan Aset Teknologi Informasi yang Dikontrol,Menerapkan kategori di setiap aset penting,daftar aset penting beserta kategori akses didokumentasikan sesuai format berlaku.
Cyber security,J.62KAM00.011.2,Melaksanakan Pengontrolan Akses Pengguna yang Berwenang,Mengidentifikasi hak akses pengguna,daftar pengguna diinventarisasi berdasarkan peran fungsinya
Cyber security,J.62KAM00.011.2,Melaksanakan Pengontrolan Akses Pengguna yang Berwenang,Mengidentifikasi hak akses pengguna,hak akses pengguna ditentukan berdasarkan kategori akses aset penting.
Cyber security,J.62KAM00.011.2,Melaksanakan Pengontrolan Akses Pengguna yang Berwenang,Melakukan pengontrolan akses pengguna,akses pengguna dikonfigurasi sesuai hak akses pengguna
Cyber security,J.62KAM00.011.2,Melaksanakan Pengontrolan Akses Pengguna yang Berwenang,Melakukan pengontrolan akses pengguna,akses pengguna dipantau berkala sesuai kebijakan organisasi.
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Memeriksa dokumen sumber dan pendukung,dokumen sumber pendukung diidentifikasi
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Memeriksa dokumen sumber dan pendukung,dokumen sumber pendukung diperiksa.
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mencatat dokumen sumber ke dalam jurnal,dokumen sumber dicatat dalam jurnal akurat sesuai standar berlaku
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mencatat dokumen sumber ke dalam jurnal,transaksi tepat dialokasikan dalam akun
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mencatat dokumen sumber ke dalam jurnal,pencatatan jurnal diverifikasi diotorisasi sesuai kebijakan prosedur perusahaan.
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mengarsipkan dokumen sumber dan pendukung,dokumen sumber pendukung disimpan sesuai kebijakan prosedur perusahaan
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mengarsipkan dokumen sumber dan pendukung,arsip dokumen diakses ditelusuri sesuai kebijakan prosedur perusahaan.
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Mempersiapkan verifikasi atau rekonsiliasi atas pengelolaan akun,"peralatan, perlengkapan format kertas kerja disediakan sesuai karakteristik kebutuhan perusahaan"
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Mempersiapkan verifikasi atau rekonsiliasi atas pengelolaan akun,pengelolaan akun laporan keuangan diidentifikasi
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Mempersiapkan verifikasi atau rekonsiliasi atas pengelolaan akun,data transaksi penggunaan akun terpilih disediakan.
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,"saldo awal akun, data mutasi akun saldo akhir akun diidentifikasi"
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,data mutasi akun diverifikasi sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,data mutasi akun dibukukan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,saldo akhir akun diverifikasi sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,kegiatan verifikasi rekonsiliasi data akun dilaksanakan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,selisih data buku data hasil verifikasi rekonsiliasi diidentifikasi
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,laporanberita acara verifikasi rekonsiliasi data akun dibuat sesuai kebijakan prosedur perusahaan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,laporanberita acara verifikasi rekonsiliasi data akun dianalisis sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Mempersiapkan pengelolaan buku besar,"peralatan, perlengkapan format kertas kerja dibutuhkan pengelolaan buku besar disediakan"
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Mempersiapkan pengelolaan buku besar,dokumen sumber rekapitulasi jurnal diidentifikasi.
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Membukukan jumlah angka dari jurnal ke buku besar,akunakun buku besar diidentifikasi
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Membukukan jumlah angka dari jurnal ke buku besar,jumlah ada rekapitulasi jurnal dibukukan sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Menyusun daftar saldo akun dalam buku besar,daftar saldo akun buku besar disajikan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Menyusun daftar saldo akun dalam buku besar,saldo akun buku besar dipastikan kebenarannya.
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,dokumen sumber penyesuaian diidentifikasi
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,akunakun memerlukan penyesuaian diidentifikasi
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,jurnal penyesuaian dicatat sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,laporan posisi keuangan akhir periode disajikan sesuai standar berlaku
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,laporan laba rugi selama periode disajikan sesuai standar berlaku
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,catatan atas laporan keuangan disajikan sesuai standar berlaku.
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,daftar akun disusun saldo awal akun dientri
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,kode pajak disiapkan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,datadata pengelolaan akun laporan keuangan dientri.
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,transaksi akan dientri diidentifikasi
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,transaksi dientri menggunakan menu tepat
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,penyesuaian data dientri.
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,laporan posisi keuangan per tanggal pelaporan disajikan
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,laporan penghasilan komprehensif disajikan
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,laporan perubahan ekuitas disajikan
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,laporan arus kas disajikan
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,catatan atas laporan keuangan disajikan.
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Memberikan dukungan teknis administrasi dokumen pra-perikatan,surat perikatan disiapkan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Memberikan dukungan teknis administrasi dokumen pra-perikatan,surat tugas disiapkan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Memberikan dukungan teknis administrasi dokumen pra-perikatan,pernyataan independensi disiapkan sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Melakukan prosedur analitis awal,pemahaman entitas lingkungan termasuk pengendalian internal didokumentasikan
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Melakukan prosedur analitis awal,prosedur analitis awal disajikan sesuai standar berlaku
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Melakukan prosedur analitis awal,pekerjaan sendiri pekerjaan orang ditelaah sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.013.1,Melakukan Pemenuhan Pajak Orang Pribadi,Menyiapkan data perpajakan,dokumen pendukung pajak diidentifikasi
Teknisi Akuntansi,M.69PTA00.013.1,Melakukan Pemenuhan Pajak Orang Pribadi,Menyiapkan data perpajakan,perhitungan pajak terutang dilakukan sesuai regulasi
Teknisi Akuntansi,M.69PTA00.013.1,Melakukan Pemenuhan Pajak Orang Pribadi,Menyiapkan data perpajakan,draft spt disiapkan sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.018.1,Dukungan Penyusunan Laporan Auditor Independen,Menyiapkan administrasi laporan,draft laporan auditor disiapkan
Teknisi Akuntansi,M.69PTA00.018.1,Dukungan Penyusunan Laporan Auditor Independen,Menyiapkan administrasi laporan,dokumen pendukung opini dikompilasi
