logo,title,company,location,min_company_size,max_company_size,type_of_work,requirement,job_level,description,min_work_experience,max_work_experience,qualification,currency,min_salary,max_salary,time,link
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/0d5ca5d4f85aeaca9eae66647e8b2eda.jpg,business development manager it cyber security,Nawatech,Jakarta,0,0,Penuh Waktu,business development sales skills sales hunting negotiation b2b sales fluent in english both oral and written,None,deskripsi pekerjaan business development manager it cyber security nawatech conduct meeting presentation visiting negotiating dealing selling to new existing customer and capable to close the deal contacts prospective customers to understand product needs and perform sales presentations to match company s products and identified needs maintain positive business relationships with existing clients to ensure future renewals and sales provide customers and partners with pricing and configurations to meet their needs as required partner closely with technical resources to ensure technical perfection in all positioning competitive analysis proposals and exchanges actively participate in cyber security events and partner activities requirements fast learner and self starter with an entrepreneurial work ethic high integrity committed and responsible person problem solving ability and strong analytical skills experience of working with diverse teams and is a team player able to effectively communicate interact and influence business and operational stakeholders and partners keep abreast with the latest technology trends and predictions effective oral and written communication skills in bahasa english,1,3,None,IDR,100,200,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/business-development-manager-it-cyber-security/8dcfaaa4-c965-443c-a7b2-1c9568a17d73
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/029b27de4402d1fcb21d3c35ff2ed351.png,data analyst manager,Power Commerce Asia,"Cilandak, Jakarta",0,0,Penuh Waktu,business development sales skills e commerce analyst market research and business analysis supply chain analyst,None,deskripsi pekerjaan data analyst manager power commerce asia responsibilities sme subject matter expert in terms of data analytics within whole company sme in terms of feasibility study new project analysis analyze transactional order related behavioral buyer related and demographic data in ecommerce explore various datasets to generate insights conclusions and recommendations produce rich insightful meaningful dashboards for monitoring reporting that automates insight generation collaborate and synergize accross with otehr data functions such as data engineering solve problems and challenges through evolving new analytical or data tracking needs with both business and technical teams strategic partner for product feature functionally business campaign initiatives and also technology operation implementation set standardization of analytical framework and reports produce data visualization with a strong storytelling element support the finance team for topline budget and forecast develop financial plan required to achieve corporate startegic plan research and identify new business opportunities including new markets growth areas trends customers partnerships products and services or new ways of reaching existing markets planning and overseeing new marketing initiatives increasing the value of current customers while attracting new ones finding and developing new markets and improving sales developing quotes and proposals for clients think strategically seeing the bigger picture and setting aims and objectives in order to develop and improve the business work strategically carrying out necessary planning in order to implement operational changes liaise with the other departments as appropriate requirements at least 5 years of experience as a business analyst bi analyst or data analyst with proven track record have a work experience in e commerce industry is a plus point strong data wrangling and data manipulation in r phyton intermediate statistics modelling utilization strong knowledge of dbms postgre mysql sql server etc strong knowledge of finance accounting and analytical skills fluency in english is a must understand concept of design solution in sales good communication and negotiation skill highly motivate and able to work as individual and as a team ability to manage complex projects and multi task excellent organizational skills ability to flourish with minimal guidance be proactive and handle uncertainty experience work in ecommerce will be advantage,5,10,None,IDR,100,200,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/data-analyst-manager/cf0a2a89-2d40-4559-bbab-c4e6659f8735
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,fullstack developer,Paystone,Jakarta,0,0,Freelance,software engineering skills html css node js javascript react js,None,deskripsi pekerjaan fullstack developer paystone utilize a strong grasp of computer science fundamentals to build and ship clean well tested features and fixes to production on our nicejob platform own your professional development and grow every day with support from a senior engineer mentor contribute to technical and cultural discussions in an environment where every voice counts independently improve the engineering team s culture patterns and practices persyaratan wajib menjadi fullstack developer di paystone key strengths ability to see the underlying principles behind a problem and eliminate the cause not the symptoms must love engineering simple solutions to complex problems owns their professional development and grows every day with support from a senior engineer mentor contributes to technical and cultural discussions in an environment where every voice counts independently improves the engineering team s culture patterns and practices utilizes strong computer science fundamentals to build and ship clean well tested features and fixes to production on our nicejob platform skills required strong software engineering fundamentals algorithms and data structures javascript html css react nodejs git rest nice to haves typescript graphql google cloud platform test driven development ci cd tools and patterns,3,5,None,SGD,1,2,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/fullstack-developer/fa45479a-91be-4517-ba21-92bda1d19946
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,backend developer middle,PT. IDStar Cipta Teknologi,Jakarta,0,0,Freelance,software engineering skills java spring boot jira java,None,deskripsi pekerjaan backend developer middle pt idstar cipta teknologi 1 menerapkan prosedur pemrograman standar dan pengetahuan fungsional yang bersangkutan 2 menganalisis kebutuhan desain menulis dan melakukan tes unit pada program dan aplikasi baru 3 mengembangkan memodifikasi program yang terkait dalam beberapa program lain yaitu output dari satu menjadi input untuk yang iain 4 mengembangkan pelayanan sistem middleware untuk proyek sesuai kebutuhan dan 5 menerapkan penilaian dalam merancang logika program dan memilih serta mengadaptasi prosedur pemrograman standar mendapatkan saran ketika preseden tidak jelas atau tidak tersedia persyaratan wajib menjadi backend developer middle di pt idstar cipta teknologi b s or m s in computer science or equivalent degree or experience 2 years of software engineering experience experience in java spring boot experience working with a variety of relational and key value or nosql databases mysql redis experience developing high performing apis experience in client side frameworks is a plus reactjs preferred high adaptability and strong problem solving skills,1,3,None,IDR,0,0,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/backend-developer-middle/edce4bda-adf2-4a56-96e7-221f856e463f
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,frontend developer,PT. IDStar Cipta Teknologi,Jakarta,0,0,Freelance,software engineering skills reactjs javascript flutter java kotlin,None,deskripsi pekerjaan frontend developer pt idstar cipta teknologi 1 menerapkan prosedur pemrograman standar dan pengetahuan fungsional yang bersangkutan 2 menganalisis kebutuhan desain menulis dan melakukan tes unit pada program dan aplikasi baru 3 mengembangkan memodifikasi program yang terkait dalam beberapa program lain yaitu output dari satu menjadi input untuk yang iain 4 mengembangkan pelayanan sistem middleware untuk proyek sesuai kebutuhan dan 5 menerapkan penilaian dalam merancang logika program dan memilih serta mengadaptasi prosedur pemrograman standar mendapatkan saran ketika preseden tidak jelas atau tidak tersedia persyaratan wajib menjadi frontend developer di pt idstar cipta teknologi berpengalaman minimal 3 tahun fast learner kreatif dan inisiatif memiliki kemampuan komunikasi yang baik berorientasi pada inovasi mampu bekerja dalam team maupun individu memiliki kemampuan analisa yang kuat memahami sdlc software development life cycle menguasai version control system memiliki passion dan skill di bidang mobile software development menggunakan flutter menguasai pengetahuan nosql prinsip desain oop dan integrasi api web restful json berorientasi pada detil dalam membangun aplikasi secara reliable scalable dan flexible,1,3,None,IDR,0,0,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/frontend-developer/a1a222ab-51d9-4190-a8f0-0370db1859af
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,software engineer,Vanguard International Semiconductor,Batam,0,0,Penuh Waktu,software engineering skills net vb 6 0 secs gem vb net,None,deskripsi pekerjaan software engineer vanguard international semiconductor demonstrate effective communication style working with all levels work with peers to ensure timely completion of projects and tasks able to plan and execute project management methodology on all projects able to work independently and requires minimal guidance to perform required tasks documentation of requirements and coordination of enhancements in the assigned area plan coordinate and manage own time to meet deliverables able to effectively provide status updates to customers on progress persyaratan wajib menjadi software engineer di vanguard international semiconductor preferred working experience in manufacturing environment related fields strong knowledge in vb6 net c c and oracle pl sql experience with mes shop floor automation and industry 4 0 is a plus automation and secs gem knowledge is a plus knowledgeable in windows windows server 2000 and client server technology a team player with good communication skills and able to work independently good analytical and troubleshooting skills,0,1,None,SGD,1,1,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/software-engineer/28577077-a70f-4e7c-a118-17abbc083dce
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,junior software engineer full stack,Synergy Financial Advisers,Batam,0,0,Freelance,software engineering skills javascript c net c,None,deskripsi pekerjaan junior software engineer full stack synergy financial advisers responsibilities attending and contributing to meetings learning the codebase and finding ways to improve it writing and maintaining code working on bug fixes monitoring the technical performance of internal systems responding to requests from the development team gathering information from users about program functionality writing reports conducting development tests persyaratan wajib menjadi junior software engineer full stack di synergy financial advisers requirements bachelors degree in computer science at least 1 2 years of working experience as a software engineer knowledge of coding languages including c net html5 and javascript experience with database systems such as sql server experience in cron jobs experience with building apis experience in version control systems like git github experience with code first entity framework and cloud deployment experience in devops workflow good working knowledge of email systems and microsoft office software ability to learn new software and technologies quickly ability to follow instructions and work in a team environment detail oriented,0,1,None,SGD,800,950,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/junior-software-engineer-full-stack/cb2a014e-0be4-4b88-8b42-a1be2e6a33c1
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,frontend developer,Sprout Asia,Batam,0,0,Penuh Waktu,software engineering skills 2 years experience typescript next js,None,deskripsi pekerjaan frontend developer sprout asia as frontend developer you will be responsible in setting up maintaining and optimising the website for users together with the product team you will work closely with them to deliver consistent and reliable web experiences through the use of scripting languages responsibilities designing and building scalable aesthetic responsive and pixel perfect front end application and website develop website and support the development of the web application support the installation of analytic scripts providing technical support to stakeholders in the web design process combining the art of design with the science of programming responsible for the translation of ui ux design wireframes to actual code develop release maintain and optimize progressive web apps to ensure a seamless digital experience through the use of markup languages partner and work closely with backend developer other developers and product managers to conceptualize build test and realize products apply best practices and coding patterns to ensure solutions are maintainable modular and work well across browsers and devices stay updated with the latest industry trends in web frameworks technologies technical skills ensure high quality graphic standards and brand consistency persyaratan wajib menjadi frontend developer di sprout asia qualifications and skills proficiency in typescript and next js and at least 2 years of experience development experience for responsive web applications good user experience instinct when designing new ui proficiency in front end programming languages such as html css or next js competent in design mock up such as figma adobe xd experience with both typescript and scss will be ideal preferably proficient with cms such as wordpress good communication and presentation skills ability to work independently with minimal oversight organised deadline driven and detail focused,1,3,None,SGD,1,1,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/frontend-developer/2379dd6f-e4bd-40a2-9331-5cb93c359e0a
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,backend developer api,42Race,Jakarta,0,0,Penuh Waktu,software engineering skills api technologies node js javascript express js adonis js,None,deskripsi pekerjaan backend developer api 42race responsibilities compile and analyze data processes and codes to troubleshoot problems and identify areas for improvement optimize application for maximum speed and scalability collaborating with the front end developers and other team members to establish objectives and design more functional cohesive codes to enhance the user experience build reusable code and libraries for future use designing database schemas that represent and support business processes ensure the technical feasibility of ui ux designs participating in continuing education and training to remain current on best practices learn new programming languages and better assist other team members persyaratan wajib menjadi backend developer api di 42race bachelors degree in computer programming computer science or a related field minimum 4 years experience in backend development excellent communication skills in english excellent project and time management skills knowledge of restful api design patterns extensive experience with node js javascript and other api technologies familiarity with express js adonis js meteor js and other api frameworks familiarity with using nosql database mongodb preferred and object caches like memcached and or redis experience with tdd bdd and agile methodologies experience leading a team of developers is a plus,3,5,None,SGD,1,1,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/backend-developer-api/2e712fb3-0638-46cb-8e39-f81033ddd116
https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/default-company-logo.png,backend developer,MicroSec,Jakarta,0,0,Freelance,software engineering skills ci cd python flask public key infrastructure,None,deskripsi pekerjaan backend developer microsec microsec has built an enterprise cybersecurity platform that protects against such attacks by facilitating mathematical and computational optimized encryption algorithms supporting post quantum cryptography to protect from zero day attacks the platform also enables a machine learning ai based anomaly detections system that can run on the smallest microcontrollers to the largest supercomputers the incredible team of various scientists and engineers from across the world has joined the incredible journey to build this technology the team is looking for its next rockstar developers engineers devops and managers who can bring it to the next level persyaratan wajib menjadi backend developer di microsec at least 3 years of experience in python and relevant frameworks such as django and flask flask would be a priority at least 2 years of experience in development for linux base platforms experience in openssl tls configurations and public key infrastructure previous work experience on iot or industrial automation solutions is a plus devsecops experience for secure continuous integration and deployment experience in implementing rest apis with specifications written in openapi swagger or postman experience in working with docker kubernetes and git ci cd strong understanding of security measures such as 2fa mfa access tokens and digital signatures working experience with socket programming tcp udp network interfaces low level kernel interfaces and system i o calls experience with databases of different types such as sql time series and key value stores a history of working within an agile environment either scrum or similar with a focus on responsible customer focused delivery ability to clearly document work through well defined specifications code comments user and developer guides a broad portfolio of algorithms languages and paradigms demonstrating an ability to learn and integrate with new technologies or concepts quickly,5,10,None,SGD,1,2,1/1/1970 0:00,https://glints.com/id/opportunities/jobs/source/spwd/backend-developer/07fb40f1-4163-4c32-abac-515897018174
